Date,Party,Item Code,Qty (Nos),Brand,Cust_type,Media
25-12-2021,Astek Electricals India Pvt. Ltd.,170M2697,24.0,Bussmann,T,E
25-12-2021,Astek Electricals India Pvt. Ltd.,170M2699,6.0,Bussmann,T,E
25-12-2021,Astek Electricals India Pvt. Ltd.,170M1565,10.0,Bussmann,T,E
25-12-2021,Astek Electricals India Pvt. Ltd.,170M1567,10.0,Bussmann,T,E
25-12-2021,Astek Electricals India Pvt. Ltd.,170M1569,10.0,Bussmann,T,E
25-12-2021,Astek Electricals India Pvt. Ltd.,170M3816,6.0,Bussmann,T,E
25-12-2021,Astek Electricals India Pvt. Ltd.,170M2697,12.0,Bussmann,T,E
25-12-2021,Astek Electricals India Pvt. Ltd.,170M1566D,20.0,Bussmann,T,E
25-12-2021,Astek Electricals India Pvt. Ltd.,170M1568D,20.0,Bussmann,T,E
27-12-2021,ARV Engineering Co. LLP,170M6768,100.0,Bussmann,T,E
27-12-2021,Chamundi Electric Pipes,170M7085,12.0,Bussmann,T,E
28-12-2021,Oscar Oilfield Equipments Trading LLC,TFP160,10.0,Bussmann,A,E
28-12-2021,A1 Electricals,400MMT,6.0,Bussmann,T,W
28-12-2021,A1 Electricals,160LET,6.0,Bussmann,T,W
29-12-2021,ARV Engineering Co. LLP,170M6466,15.0,Bussmann,T,E
29-12-2021,ARV Engineering Co. LLP,170M6809,6.0,Bussmann,T,E
29-12-2021,ARV Engineering Co. LLP,NSD2,20.0,Bussmann,T,E
29-12-2021,ARV Engineering Co. LLP,170M6468,10.0,Bussmann,T,E
29-12-2021,ARV Engineering Co. LLP,170M6809,10.0,Bussmann,T,E
29-12-2021,ARV Engineering Co. LLP,170M1566D,10.0,Bussmann,T,E
29-12-2021,ARV Engineering Co. LLP,170M1563D,10.0,Bussmann,T,E
29-12-2021,ARV Engineering Co. LLP,170M6814D,10.0,Bussmann,T,E
29-12-2021,Deb Agencies,200FM,45.0,Bussmann,T,E
29-12-2021,S & S Enterprise,350FM,6.0,Bussmann,T,E
29-12-2021,S & S Enterprise,170M4185,6.0,Bussmann,T,E
29-12-2021,S.G. Automation,170M3813D,6.0,Bussmann,T,E
29-12-2021,S.G. Automation,170M3810D,6.0,Bussmann,T,E
29-12-2021,S.G. Automation,SB00-PB,6.0,Bussmann,T,E
29-12-2021,Samcon Industrial Controls Pvt. Ltd.,BH-1132,6.0,Bussmann,T,E
29-12-2021,Swaroop Engineers,350FM,6.0,Bussmann,T,E
29-12-2021,Swaroop Engineers,170M4185,6.0,Bussmann,T,E
30-12-2021,Chawla Electric Stores,FRS-R-5,20.0,Bussmann,T,E
30-12-2021,Stellar Trading Co.,170M5146,6.0,Bussmann,T,E
30-12-2021,Shree Om International,170M5212,6.0,Bussmann,T,E
31-12-2021,A1 Electricals,170M8547,2.0,Bussmann,T,E
31-12-2021,Hari Paremal,170M3423,18.0,Bussmann,T,A
31-12-2021,Electro Control,170M5146,3.0,Bussmann,T,E
01-01-2022,S.K. Engineers & Contractors,170M5146,6.0,Bussmann,T,E
04-01-2022,Boost Electronics,C10G16,100.0,Bussmann,T,E
04-01-2022,Boost Electronics,C10G32,100.0,Bussmann,T,E
04-01-2022,Chamundi Electric Pipes,170M4413,3.0,Bussmann,T,E
04-01-2022,Mogli Labs India Pvt. Ltd.,170M5810,3.0,Bussmann,T,E
04-01-2022,Mogli Labs India Pvt. Ltd.,170M8554,1.0,Bussmann,T,E
04-01-2022,Mogli Labs India Pvt. Ltd.,9URD2PV0450,1.0,Bussmann,T,E
04-01-2022,Mogli Labs India Pvt. Ltd.,FNQ-R-3,10.0,Bussmann,T,E
04-01-2022,Mogli Labs India Pvt. Ltd.,160NHG00B,1.0,Bussmann,T,E
04-01-2022,Mogli Labs India Pvt. Ltd.,50NHG000B,1.0,Bussmann,T,E
04-01-2022,Mogli Labs India Pvt. Ltd.,63NHC00G,1.0,Bussmann,T,E
04-01-2022,Mogli Labs India Pvt. Ltd.,200NHG1B,1.0,Bussmann,T,E
04-01-2022,Mogli Labs India Pvt. Ltd.,SB3D630A,1.0,Bussmann,T,E
04-01-2022,Mogli Labs India Pvt. Ltd.,315NHG2B,1.0,Bussmann,T,E
04-01-2022,Mogli Labs India Pvt. Ltd.,250NHG1B,1.0,Bussmann,T,E
04-01-2022,Shubhada Enterprises,12ABCNA3.15,10.0,Bussmann,T,E
05-01-2022,Sasmos HET Technologies Ltd.,FWH5-010A6F,15.0,Bussmann,T,E
05-01-2022,Sasmos HET Technologies Ltd.,FWH-005A6F,20.0,Bussmann,T,E
05-01-2022,Sasmos HET Technologies Ltd.,LP-CC-30,30.0,Bussmann,T,E
05-01-2022,Sasmos HET Technologies Ltd.,FWC-25A10F,10.0,Bussmann,T,E
05-01-2022,Vivid Electromech Pvt. Ltd.,170M6810D,120.0,Bussmann,T,E
06-01-2022,Vision Edge Solutions,63ET,12.0,Bussmann,T,E
06-01-2022,Vision Edge Solutions,90EET,12.0,Bussmann,T,E
06-01-2022,Vision Edge Solutions,110EET,12.0,Bussmann,T,E
06-01-2022,Vision Edge Solutions,140EET,12.0,Bussmann,T,E
06-01-2022,Vision Edge Solutions,160EET,24.0,Bussmann,T,E
06-01-2022,Vision Edge Solutions,200MMT,12.0,Bussmann,T,E
06-01-2022,Vivid Electromech Pvt. Ltd.,170M6810D,120.0,Bussmann,T,E
06-01-2022,Vivid Electromech Pvt. Ltd.,500LMMT,120.0,Bussmann,T,E
07-01-2022,Chamundi Electric Pipes,170M4410,3.0,Bussmann,T,E
10-01-2022,Vilking Electrics & ELectronics,SC-30BS,60.0,Bussmann,T,E
10-01-2022,Vilking Electrics & ELectronics,KTK-R-2,20.0,Bussmann,T,E
10-01-2022,Vilking Electrics & ELectronics,KTK-R-10,10.0,Bussmann,T,E
10-01-2022,Vilking Electrics & ELectronics,C10G10,20.0,Bussmann,T,E
10-01-2022,Vilking Electrics & ELectronics,KTK-5,20.0,Bussmann,T,E
